parkingAreaOccupancy,parkingAreaStatusTime,parkingAreaTotalNumberOfVacantParkingSpaces,totalParkingCapacityLongTermOverride,totalParkingCapacityShortTermOverride,id,TIME
0.39676112,2021-08-01T08:52:00Z,745,0,1235,5[Dom / Römer],2021-08-01T08:52:00.854Z
0.38032037,2021-08-01T08:52:00Z,1354,45,2185,2[Zeil],2021-08-01T08:52:00.854Z
0.37375414,2021-08-01T09:07:00Z,377,150,602,1[Anlagenring],2021-08-01T09:07:00.063Z
0.08516484,2021-08-01T09:07:00Z,333,0,364,4[Bahnhofsviertel],2021-08-01T09:07:00.063Z
0.4008097,2021-08-01T09:07:00Z,740,0,1235,5[Dom / Römer],2021-08-01T09:07:00.063Z
0.38443935,2021-08-01T09:07:00Z,1345,45,2185,2[Zeil],2021-08-01T09:07:00.063Z
0.39534885,2021-08-01T09:27:00Z,364,150,602,1[Anlagenring],2021-08-01T09:27:02.090Z
0.07692308,2021-08-01T09:27:00Z,336,0,364,4[Bahnhofsviertel],2021-08-01T09:27:02.090Z
0.4097166,2021-08-01T09:27:00Z,729,0,1235,5[Dom / Römer],2021-08-01T09:27:02.090Z
0.3922197,2021-08-01T09:27:00Z,1328,45,2185,2[Zeil],2021-08-01T09:27:02.090Z
0.410299,2021-08-01T09:42:00Z,355,150,602,1[Anlagenring],2021-08-01T09:42:02.329Z
0.06868132,2021-08-01T09:42:00Z,339,0,364,4[Bahnhofsviertel],2021-08-01T09:42:02.329Z
0.41700405,2021-08-01T09:42:00Z,720,0,1235,5[Dom / Römer],2021-08-01T09:42:02.329Z
0.38352403,2021-08-01T09:42:00Z,1347,45,2185,2[Zeil],2021-08-01T09:42:02.329Z
0.41860464,2021-08-01T09:52:00Z,350,150,602,1[Anlagenring],2021-08-01T09:52:00.707Z
0.06318682,2021-08-01T09:52:00Z,341,0,364,4[Bahnhofsviertel],2021-08-01T09:52:00.707Z
0.42186233,2021-08-01T09:52:00Z,714,0,1235,5[Dom / Römer],2021-08-01T09:52:00.707Z
0.38215104,2021-08-01T09:52:00Z,1350,45,2185,2[Zeil],2021-08-01T09:52:00.707Z
0.43687707,2021-08-01T10:12:00Z,339,150,602,1[Anlagenring],2021-08-01T10:12:00.131Z
0.057692308,2021-08-01T10:12:00Z,343,0,364,4[Bahnhofsviertel],2021-08-01T10:12:00.131Z
0.42672065,2021-08-01T10:12:00Z,708,0,1235,5[Dom / Römer],2021-08-01T10:12:00.131Z
0.38627002,2021-08-01T10:12:00Z,1341,45,2185,2[Zeil],2021-08-01T10:12:00.131Z
0.43023255,2021-08-01T10:32:00Z,343,150,602,1[Anlagenring],2021-08-01T10:32:02.607Z
0.06318682,2021-08-01T10:32:00Z,341,0,364,4[Bahnhofsviertel],2021-08-01T10:32:02.607Z
0.4388664,2021-08-01T10:32:00Z,693,0,1235,5[Dom / Römer],2021-08-01T10:32:02.607Z
0.3853547,2021-08-01T10:32:00Z,1343,45,2185,2[Zeil],2021-08-01T10:32:02.607Z
0.43189368,2021-08-01T10:42:00Z,342,150,602,1[Anlagenring],2021-08-01T10:42:00.419Z
0.06593407,2021-08-01T10:42:00Z,340,0,364,4[Bahnhofsviertel],2021-08-01T10:42:00.419Z
0.442915,2021-08-01T10:42:00Z,688,0,1235,5[Dom / Römer],2021-08-01T10:42:00.419Z
0.38215104,2021-08-01T10:42:00Z,1350,45,2185,2[Zeil],2021-08-01T10:42:00.419Z
0.44850498,2021-08-01T10:57:00Z,332,150,602,1[Anlagenring],2021-08-01T10:57:00.254Z
0.07692308,2021-08-01T10:57:00Z,336,0,364,4[Bahnhofsviertel],2021-08-01T10:57:00.254Z
0.448583,2021-08-01T10:57:00Z,681,0,1235,5[Dom / Römer],2021-08-01T10:57:00.254Z
0.37528604,2021-08-01T10:57:00Z,1365,45,2185,2[Zeil],2021-08-01T10:57:00.254Z
0.44684386,2021-08-01T11:12:00Z,333,150,602,1[Anlagenring],2021-08-01T11:12:02.136Z
0.07967033,2021-08-01T11:12:00Z,335,0,364,4[Bahnhofsviertel],2021-08-01T11:12:02.136Z
0.45991904,2021-08-01T11:12:00Z,667,0,1235,5[Dom / Römer],2021-08-01T11:12:02.136Z
0.37894738,2021-08-01T11:12:00Z,1357,45,2185,2[Zeil],2021-08-01T11:12:02.136Z
0.46179402,2021-08-01T11:23:00Z,324,150,602,1[Anlagenring],2021-08-01T11:22:00.561Z
0.07967033,2021-08-01T11:23:00Z,335,0,364,4[Bahnhofsviertel],2021-08-01T11:22:00.561Z
0.4631579,2021-08-01T11:23:00Z,663,0,1235,5[Dom / Römer],2021-08-01T11:22:00.561Z
0.37940502,2021-08-01T11:23:00Z,1356,45,2185,2[Zeil],2021-08-01T11:22:00.561Z
0.4833887,2021-08-01T11:38:00Z,311,150,602,1[Anlagenring],2021-08-01T11:37:01.643Z
0.08791209,2021-08-01T11:38:00Z,332,0,364,4[Bahnhofsviertel],2021-08-01T11:37:01.643Z
0.4680162,2021-08-01T11:38:00Z,657,0,1235,5[Dom / Römer],2021-08-01T11:37:01.643Z
0.3798627,2021-08-01T11:38:00Z,1355,45,2185,2[Zeil],2021-08-01T11:37:01.643Z
0.48671097,2021-08-01T11:48:00Z,309,150,602,1[Anlagenring],2021-08-01T11:47:01.242Z
0.09065934,2021-08-01T11:48:00Z,331,0,364,4[Bahnhofsviertel],2021-08-01T11:47:01.242Z
0.47125506,2021-08-01T11:48:00Z,653,0,1235,5[Dom / Römer],2021-08-01T11:47:01.242Z
0.37894738,2021-08-01T11:48:00Z,1357,45,2185,2[Zeil],2021-08-01T11:47:01.242Z
0.51328903,2021-08-01T11:58:00Z,293,150,602,1[Anlagenring],2021-08-01T11:57:01.436Z
0.09065934,2021-08-01T11:58:00Z,331,0,364,4[Bahnhofsviertel],2021-08-01T11:57:01.436Z
0.47935224,2021-08-01T11:58:00Z,643,0,1235,5[Dom / Römer],2021-08-01T11:57:01.436Z
0.37391305,2021-08-01T11:58:00Z,1368,45,2185,2[Zeil],2021-08-01T11:57:01.436Z
0.49667773,2021-08-01T12:33:00Z,303,150,602,1[Anlagenring],2021-08-01T12:32:01.629Z
0.08791209,2021-08-01T12:33:00Z,332,0,364,4[Bahnhofsviertel],2021-08-01T12:32:01.629Z
0.4882591,2021-08-01T12:33:00Z,632,0,1235,5[Dom / Römer],2021-08-01T12:32:01.629Z
0.36887872,2021-08-01T12:33:00Z,1379,45,2185,2[Zeil],2021-08-01T12:32:01.629Z
0.46179402,2021-08-01T12:58:00Z,324,150,602,1[Anlagenring],2021-08-01T12:57:02.738Z
0.07417583,2021-08-01T12:58:00Z,337,0,364,4[Bahnhofsviertel],2021-08-01T12:57:02.738Z
0.4785425,2021-08-01T12:58:00Z,644,0,1235,5[Dom / Römer],2021-08-01T12:57:02.738Z
0.36018306,2021-08-01T12:58:00Z,1398,45,2185,2[Zeil],2021-08-01T12:57:02.738Z
0.37707642,2021-08-01T13:24:00Z,375,150,602,1[Anlagenring],2021-08-01T13:22:00.704Z
0.082417585,2021-08-01T13:24:00Z,334,0,364,4[Bahnhofsviertel],2021-08-01T13:22:00.704Z
0.47449392,2021-08-01T13:24:00Z,649,0,1235,5[Dom / Römer],2021-08-01T13:22:00.704Z
0.3542334,2021-08-01T13:24:00Z,1411,45,2185,2[Zeil],2021-08-01T13:22:00.704Z
0.34219268,2021-08-01T13:39:00Z,396,150,602,1[Anlagenring],2021-08-01T13:37:00.606Z
0.082417585,2021-08-01T13:39:00Z,334,0,364,4[Bahnhofsviertel],2021-08-01T13:37:00.606Z
0.47530365,2021-08-01T13:39:00Z,648,0,1235,5[Dom / Römer],2021-08-01T13:37:00.606Z
0.35789475,2021-08-01T13:39:00Z,1403,45,2185,2[Zeil],2021-08-01T13:37:00.606Z
0.32890365,2021-08-01T13:49:00Z,404,150,602,1[Anlagenring],2021-08-01T13:47:01.016Z
0.08516484,2021-08-01T13:49:00Z,333,0,364,4[Bahnhofsviertel],2021-08-01T13:47:01.016Z
