parkingFacilityOccupancy;parkingFacilityStatus;parkingFacilityStatusTime;totalNumberOfOccupiedParkingSpaces;totalNumberOfVacantParkingSpaces;totalParkingCapacityLongTermOverride;totalParkingCapacityOverride;totalParkingCapacityShortTermOverride;id;TIME
0.2554945;open;2021-10-01T07:18:00Z;93;271;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T07:22:01.145Z
0.63849765;open;2021-10-01T07:18:00Z;272;154;0;426;426;18497[Hauptwache];2021-10-01T07:22:01.145Z
0.6464771;open;2021-10-01T07:18:00Z;523;286;0;809;809;24279[Konstabler];2021-10-01T07:22:01.145Z
0.72205883;open;2021-10-01T07:18:00Z;491;189;0;680;680;18495[Am Gericht];2021-10-01T07:22:01.145Z
0.15124154;open;2021-10-01T07:18:00Z;134;752;70;956;886;109240[MyZeil];2021-10-01T07:22:01.145Z
0.5709779;open;2021-10-01T07:18:00Z;362;272;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T07:22:01.145Z
0.6666667;open;2021-10-01T07:33:00Z;100;50;200;350;150;24276[Turmcenter];2021-10-01T07:37:00.891Z
0.31343284;open;2021-10-01T07:33:00Z;126;276;0;402;402;18944[Alte Oper];2021-10-01T07:37:00.891Z
0.26648352;open;2021-10-01T07:33:00Z;97;267;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T07:37:00.891Z
0.6455399;open;2021-10-01T07:33:00Z;275;151;0;426;426;18497[Hauptwache];2021-10-01T07:37:00.891Z
0.6600742;open;2021-10-01T07:33:00Z;534;275;0;809;809;24279[Konstabler];2021-10-01T07:37:00.891Z
0.76911765;open;2021-10-01T07:33:00Z;523;157;0;680;680;18495[Am Gericht];2021-10-01T07:37:00.891Z
0.16817155;open;2021-10-01T07:33:00Z;149;737;70;956;886;109240[MyZeil];2021-10-01T07:37:00.891Z
0.59305996;open;2021-10-01T07:33:00Z;376;258;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T07:37:00.891Z
0.7;open;2021-10-01T07:43:00Z;105;45;200;350;150;24276[Turmcenter];2021-10-01T07:47:01.962Z
0.33084577;open;2021-10-01T07:43:00Z;133;269;0;402;402;18944[Alte Oper];2021-10-01T07:47:01.962Z
0.2747253;open;2021-10-01T07:43:00Z;100;264;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T07:47:01.962Z
0.6737089;open;2021-10-01T07:43:00Z;287;139;0;426;426;18497[Hauptwache];2021-10-01T07:47:01.962Z
0.6637824;open;2021-10-01T07:43:00Z;537;272;0;809;809;24279[Konstabler];2021-10-01T07:47:01.962Z
0.7985294;open;2021-10-01T07:43:00Z;543;137;0;680;680;18495[Am Gericht];2021-10-01T07:47:01.962Z
0.17155756;open;2021-10-01T07:43:00Z;152;734;70;956;886;109240[MyZeil];2021-10-01T07:47:01.962Z
0.6072555;open;2021-10-01T07:43:00Z;385;249;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T07:47:01.962Z
0.73333335;open;2021-10-01T07:53:00Z;110;40;200;350;150;24276[Turmcenter];2021-10-01T07:57:01.478Z
0.36069652;open;2021-10-01T07:53:00Z;145;257;0;402;402;18944[Alte Oper];2021-10-01T07:57:01.478Z
0.2802198;open;2021-10-01T07:53:00Z;102;262;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T07:57:01.478Z
0.7112676;open;2021-10-01T07:53:00Z;303;123;0;426;426;18497[Hauptwache];2021-10-01T07:57:01.478Z
0.68726826;open;2021-10-01T07:53:00Z;556;253;0;809;809;24279[Konstabler];2021-10-01T07:57:01.478Z
0.8220588;open;2021-10-01T07:53:00Z;559;121;0;680;680;18495[Am Gericht];2021-10-01T07:57:01.478Z
0.18623024;open;2021-10-01T07:53:00Z;165;721;70;956;886;109240[MyZeil];2021-10-01T07:57:01.478Z
0.6151419;open;2021-10-01T07:53:00Z;390;244;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T07:57:01.478Z
0.8;open;2021-10-01T08:13:00Z;120;30;200;350;150;24276[Turmcenter];2021-10-01T08:17:02.568Z
0.4353234;open;2021-10-01T08:13:00Z;175;227;0;402;402;18944[Alte Oper];2021-10-01T08:17:02.568Z
0.27747253;open;2021-10-01T08:13:00Z;101;263;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T08:17:02.568Z
0.7769953;open;2021-10-01T08:13:00Z;331;95;0;426;426;18497[Hauptwache];2021-10-01T08:17:02.568Z
0.7527812;open;2021-10-01T08:13:00Z;609;200;0;809;809;24279[Konstabler];2021-10-01T08:17:02.568Z
0.8544118;open;2021-10-01T08:13:00Z;581;99;0;680;680;18495[Am Gericht];2021-10-01T08:17:02.568Z
0.19300225;open;2021-10-01T08:13:00Z;171;715;70;956;886;109240[MyZeil];2021-10-01T08:17:02.568Z
0.6356467;open;2021-10-01T08:13:00Z;403;231;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T08:17:02.568Z
0.82666665;open;2021-10-01T08:33:00Z;124;26;200;350;150;24276[Turmcenter];2021-10-01T08:37:01.652Z
0.5;open;2021-10-01T08:33:00Z;201;201;0;402;402;18944[Alte Oper];2021-10-01T08:37:01.652Z
0.28296703;open;2021-10-01T08:33:00Z;103;261;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T08:37:01.652Z
0.8309859;open;2021-10-01T08:33:00Z;354;72;0;426;426;18497[Hauptwache];2021-10-01T08:37:01.652Z
0.80593324;open;2021-10-01T08:33:00Z;652;157;0;809;809;24279[Konstabler];2021-10-01T08:37:01.652Z
0.8661765;open;2021-10-01T08:33:00Z;589;91;0;680;680;18495[Am Gericht];2021-10-01T08:37:01.652Z
0.20767495;open;2021-10-01T08:33:00Z;184;702;70;956;886;109240[MyZeil];2021-10-01T08:37:01.652Z
0.648265;open;2021-10-01T08:33:00Z;411;223;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T08:37:01.652Z
0.8466667;open;2021-10-01T08:44:00Z;127;23;200;350;150;24276[Turmcenter];2021-10-01T08:47:02.399Z
0.539801;open;2021-10-01T08:44:00Z;217;185;0;402;402;18944[Alte Oper];2021-10-01T08:47:02.399Z
0.27747253;open;2021-10-01T08:44:00Z;101;263;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T08:47:02.399Z
0.87089205;open;2021-10-01T08:44:00Z;371;55;0;426;426;18497[Hauptwache];2021-10-01T08:47:02.399Z
0.8207664;open;2021-10-01T08:44:00Z;664;145;0;809;809;24279[Konstabler];2021-10-01T08:47:02.399Z
0.8573529;open;2021-10-01T08:44:00Z;583;97;0;680;680;18495[Am Gericht];2021-10-01T08:47:02.399Z
0.2200903;open;2021-10-01T08:44:00Z;195;691;70;956;886;109240[MyZeil];2021-10-01T08:47:02.399Z
0.648265;open;2021-10-01T08:44:00Z;411;223;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T08:47:02.399Z
0.85333335;open;2021-10-01T08:54:00Z;128;22;200;350;150;24276[Turmcenter];2021-10-01T08:57:00.296Z
0.5472637;open;2021-10-01T08:54:00Z;220;182;0;402;402;18944[Alte Oper];2021-10-01T08:57:00.296Z
0.28296703;open;2021-10-01T08:54:00Z;103;261;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T08:57:00.296Z
0.91784036;open;2021-10-01T08:54:00Z;391;35;0;426;426;18497[Hauptwache];2021-10-01T08:57:00.296Z
0.855377;open;2021-10-01T08:54:00Z;692;117;0;809;809;24279[Konstabler];2021-10-01T08:57:00.296Z
0.8617647;open;2021-10-01T08:54:00Z;586;94;0;680;680;18495[Am Gericht];2021-10-01T08:57:00.296Z
0.22799097;open;2021-10-01T08:54:00Z;202;684;70;956;886;109240[MyZeil];2021-10-01T08:57:00.296Z
0.6451104;open;2021-10-01T08:54:00Z;409;225;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T08:57:00.296Z
0.81333333;open;2021-10-01T09:19:00Z;122;28;200;350;150;24276[Turmcenter];2021-10-01T09:22:00.756Z
0.5970149;open;2021-10-01T09:19:00Z;240;162;0;402;402;18944[Alte Oper];2021-10-01T09:22:00.756Z
0.2802198;open;2021-10-01T09:19:00Z;102;262;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T09:22:00.756Z
0.9882629;open;2021-10-01T09:19:00Z;421;5;0;426;426;18497[Hauptwache];2021-10-01T09:22:00.756Z
0.86650187;open;2021-10-01T09:19:00Z;701;108;0;809;809;24279[Konstabler];2021-10-01T09:22:00.756Z
0.8955882;open;2021-10-01T09:19:00Z;609;71;0;680;680;18495[Am Gericht];2021-10-01T09:22:00.756Z
0.23927765;open;2021-10-01T09:19:00Z;212;674;70;956;886;109240[MyZeil];2021-10-01T09:22:00.756Z
0.65457416;open;2021-10-01T09:19:00Z;415;219;0;634;634;18494[Konrad-Adenauer-Straße];2021-10-01T09:22:00.756Z
0.82;open;2021-10-01T09:29:00Z;123;27;200;350;150;24276[Turmcenter];2021-10-01T09:32:01.846Z
0.5970149;open;2021-10-01T09:29:00Z;240;162;0;402;402;18944[Alte Oper];2021-10-01T09:32:01.846Z
0.2747253;open;2021-10-01T09:29:00Z;100;264;0;364;364;24281[Hauptbahnhof Süd];2021-10-01T09:32:01.846Z
1;open;2021-10-01T09:29:00Z;426;0;0;426;426;18497[Hauptwache];2021-10-01T09:32:01.846Z
